,year-month,borough,average
0,2018-01,Bronx,238
1,2018-01,Brooklyn,3234
2,2018-01,EWR,18
3,2018-01,Manhattan,256972
4,2018-01,Queens,16998
5,2018-01,Staten Island,5
6,2018-01,Unknown,5126
7,2018-02,Manhattan,277426
8,2018-02,Unknown,4907
9,2018-02,Brooklyn,3396
10,2018-02,Staten Island,4
11,2018-02,Bronx,234
12,2018-02,EWR,18
13,2018-02,Queens,17304
14,2018-03,Bronx,333
15,2018-03,Brooklyn,3966
16,2018-03,EWR,21
17,2018-03,Manhattan,276396
18,2018-03,Queens,18221
19,2018-03,Staten Island,4
20,2018-03,Unknown,5251
21,2018-04,Brooklyn,3969
22,2018-04,Staten Island,4
23,2018-04,Queens,19878
24,2018-04,Bronx,348
25,2018-04,EWR,23
26,2018-04,Unknown,5002
27,2018-04,Manhattan,280966
28,2018-05,Staten Island,5
29,2018-05,Queens,19705
30,2018-05,EWR,24
31,2018-05,Manhattan,269367
32,2018-05,Brooklyn,3962
33,2018-05,Bronx,351
34,2018-05,Unknown,4151
35,2018-06,Bronx,340
36,2018-06,Brooklyn,4099
37,2018-06,EWR,23
38,2018-06,Manhattan,262636
39,2018-06,Queens,19160
40,2018-06,Staten Island,5
41,2018-06,Unknown,4209
42,2018-07,Staten Island,5
43,2018-07,Brooklyn,3040
44,2018-07,Queens,17313
45,2018-07,Manhattan,228798
46,2018-07,EWR,20
47,2018-07,Bronx,295
48,2018-07,Unknown,3775
49,2018-08,Bronx,347
50,2018-08,Staten Island,7
51,2018-08,Queens,17754
52,2018-08,Unknown,3484
53,2018-08,EWR,18
54,2018-08,Brooklyn,3140
55,2018-08,Manhattan,228624
56,2018-09,Bronx,378
57,2018-09,Queens,17882
58,2018-09,Staten Island,9
59,2018-09,Unknown,3678
60,2018-09,Brooklyn,3688
61,2018-09,EWR,22
62,2018-09,Manhattan,242631
63,2018-10,Unknown,4818
64,2018-10,Staten Island,12
65,2018-10,Queens,18482
66,2018-10,Manhattan,257302
67,2018-10,EWR,26
68,2018-10,Brooklyn,3893
69,2018-10,Bronx,441
70,2018-11,Staten Island,11
71,2018-11,Queens,17467
72,2018-11,EWR,23
73,2018-11,Manhattan,245329
74,2018-11,Brooklyn,3480
75,2018-11,Bronx,479
76,2018-11,Unknown,5046
77,2018-12,Bronx,536
78,2018-12,Brooklyn,3556
79,2018-12,EWR,21
80,2018-12,Manhattan,238921
81,2018-12,Queens,16039
82,2018-12,Staten Island,13
83,2018-12,Unknown,5260
84,2019-01,Staten Island,12
85,2019-01,Brooklyn,2964
86,2019-01,Unknown,5281
87,2019-01,Queens,15197
88,2019-01,EWR,14
89,2019-01,Manhattan,224210
90,2019-01,Bronx,582
91,2019-02,Bronx,639
92,2019-02,Brooklyn,3360
93,2019-02,EWR,18
94,2019-02,Manhattan,229377
95,2019-02,Queens,15678
96,2019-02,Staten Island,13
97,2019-02,Unknown,2656
98,2019-03,Unknown,1834
99,2019-03,Staten Island,10
100,2019-03,Queens,17298
101,2019-03,Bronx,654
102,2019-03,EWR,21
103,2019-03,Brooklyn,3544
104,2019-03,Manhattan,230386
105,2019-04,Queens,17204
106,2019-04,Unknown,2458
107,2019-04,Staten Island,11
108,2019-04,Manhattan,225671
109,2019-04,Brooklyn,3269
110,2019-04,Bronx,554
111,2019-04,EWR,22
112,2019-05,Bronx,474
113,2019-05,Brooklyn,3091
114,2019-05,Unknown,2253
115,2019-05,EWR,23
116,2019-05,Queens,17519
117,2019-05,Staten Island,12
118,2019-05,Manhattan,221727
119,2019-06,Staten Island,12
120,2019-06,Bronx,496
121,2019-06,Brooklyn,3084
122,2019-06,EWR,26
123,2019-06,Manhattan,209385
124,2019-06,Queens,17260
125,2019-06,Unknown,2104
126,2019-07,Unknown,1723
127,2019-07,Staten Island,11
128,2019-07,Manhattan,183163
129,2019-07,Queens,15699
130,2019-07,EWR,23
131,2019-07,Brooklyn,2480
132,2019-07,Bronx,454
133,2019-08,Manhattan,175588
134,2019-08,EWR,25
135,2019-08,Brooklyn,2277
136,2019-08,Queens,15817
137,2019-08,Unknown,1781
138,2019-08,Staten Island,9
139,2019-08,Bronx,401
140,2019-09,Manhattan,197804
141,2019-09,Brooklyn,2701
142,2019-09,EWR,27
143,2019-09,Unknown,1889
144,2019-09,Queens,16090
145,2019-09,Staten Island,9
146,2019-09,Bronx,394
147,2019-10,Staten Island,10
148,2019-10,Unknown,1856
149,2019-10,Manhattan,211388
150,2019-10,Queens,16329
151,2019-10,Bronx,388
152,2019-10,Brooklyn,2697
153,2019-10,EWR,28
154,2019-11,Bronx,398
155,2019-11,Brooklyn,2587
156,2019-11,Unknown,1799
157,2019-11,EWR,28
158,2019-11,Queens,15074
159,2019-11,Staten Island,10
160,2019-11,Manhattan,209353
161,2019-12,Unknown,1797
162,2019-12,Staten Island,9
163,2019-12,Queens,15245
164,2019-12,Brooklyn,2577
165,2019-12,EWR,30
166,2019-12,Bronx,423
167,2019-12,Manhattan,202368
168,2020-01,Staten Island,11
169,2020-01,EWR,24
170,2020-01,Brooklyn,2296
171,2020-01,Manhattan,188578
172,2020-01,Bronx,454
173,2020-01,Unknown,1520
174,2020-01,Queens,13723
175,2020-02,Staten Island,9
176,2020-02,Manhattan,199916
177,2020-02,Queens,13033
178,2020-02,EWR,21
179,2020-02,Unknown,1497
180,2020-02,Brooklyn,2344
181,2020-02,Bronx,389
182,2020-03,Staten Island,6
183,2020-03,Queens,5875
184,2020-03,Manhattan,88843
185,2020-03,Unknown,687
186,2020-03,Brooklyn,1285
187,2020-03,Bronx,302
188,2020-03,EWR,11
189,2020-04,Brooklyn,241
190,2020-04,Bronx,181
191,2020-04,EWR,0
192,2020-04,Manhattan,7096
193,2020-04,Queens,336
194,2020-04,Unknown,73
195,2020-04,Staten Island,4
196,2020-05,Staten Island,11
197,2020-05,Manhattan,9487
198,2020-05,Queens,646
199,2020-05,EWR,0
200,2020-05,Unknown,110
201,2020-05,Brooklyn,604
202,2020-05,Bronx,380
203,2020-06,Staten Island,18
204,2020-06,Queens,1148
205,2020-06,Manhattan,16042
206,2020-06,Unknown,168
207,2020-06,Brooklyn,615
208,2020-06,Bronx,334
209,2020-06,EWR,1
210,2020-07,EWR,1
211,2020-07,Brooklyn,772
212,2020-07,Manhattan,22842
213,2020-07,Bronx,424
214,2020-07,Unknown,261
215,2020-07,Staten Island,7
216,2020-07,Queens,1513
217,2020-08,Queens,1910
218,2020-08,Staten Island,6
219,2020-08,EWR,2
220,2020-08,Manhattan,28906
221,2020-08,Brooklyn,924
222,2020-08,Bronx,485
223,2020-08,Unknown,260
224,2020-09,Staten Island,8
225,2020-09,Queens,2023
226,2020-09,Manhattan,40541
227,2020-09,Unknown,668
228,2020-09,Brooklyn,989
229,2020-09,Bronx,466
230,2020-09,EWR,2
231,2020-10,EWR,2
232,2020-10,Brooklyn,1034
233,2020-10,Manhattan,49684
234,2020-10,Bronx,491
235,2020-10,Unknown,786
236,2020-10,Staten Island,12
237,2020-10,Queens,2221
238,2020-11,Brooklyn,996
239,2020-11,Bronx,446
240,2020-11,Unknown,689
241,2020-11,EWR,2
242,2020-11,Queens,2097
243,2020-11,Staten Island,12
244,2020-11,Manhattan,46054
245,2020-12,Unknown,675
246,2020-12,Staten Island,13
247,2020-12,Queens,2037
248,2020-12,Manhattan,43033
249,2020-12,Brooklyn,916
250,2020-12,Bronx,481
251,2020-12,EWR,2
252,2021-01,Bronx,491
253,2021-01,EWR,2
254,2021-01,Brooklyn,914
255,2021-01,Staten Island,12
256,2021-01,Unknown,660
257,2021-01,Queens,2415
258,2021-01,Manhattan,39692
259,2021-02,EWR,1
260,2021-02,Bronx,459
261,2021-02,Brooklyn,940
